,gender__gender,living_status__living_status,zip_code__zip_code_zip3_150,zip_code__zip_code_zip3_201,zip_code__zip_code_zip3_500,zip_code__zip_code_zip3_800,zip_code__zip_code_zip3_801,zip_code__zip_code_zip3_850,claim_date__claim_date_month_year,num__age_of_driver,num__safty_rating,num__annual_income,num__past_num_of_claims,num__liab_prct,num__claim_est_payout,num__age_of_vehicle,num__vehicle_price,num__vehicle_weight,cat_imputer__claim_day_of_week,cat_imputer__accident_site,cat_imputer__channel,cat_imputer__vehicle_category,cat_imputer__vehicle_color,remainder__marital_status,remainder__high_education_ind,remainder__address_change_ind,remainder__witness_present_ind,remainder__policy_report_filed_ind
0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14400000000000002,0.37704918032786894,0.5555555555555556,0.006107063134397517,0.35000000000000003,0.23,0.0,0.0,0.137321362422156,0.32522529408417505,0.14932767162066526,0.2214393558127831,0.15828025477707006,0.1598639455782313,0.1702873160476524,1.0,0.0,0.0,0.0,1.0
1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1591928251121076,0.3278688524590164,0.6111111111111112,0.9071621109379606,0.65,0.5,0.32418872249774167,0.0,0.0,0.22639730762140703,0.16749821810406273,0.08886653252850436,0.15749088816420487,0.15379864113650402,0.1461187214611872,1.0,1.0,1.0,0.0,0.0
2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13366336633663367,0.6229508196721312,0.7916666666666667,0.4726972160215642,0.15000000000000002,0.5,0.0,0.0,0.07573057922634605,0.4923135029967323,0.14932767162066526,0.08886653252850436,0.15828025477707006,0.1572727272727273,0.1461187214611872,1.0,1.0,1.0,0.0,1.0
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14177215189873418,0.09836065573770492,0.7916666666666667,0.42459882912858526,0.15000000000000002,0.38,0.0,0.16666666666666669,0.7646146582799513,0.34846830245894345,0.14063604240282684,0.08886653252850436,0.1522198731501057,0.1572727272727273,0.16977225672877846,1.0,1.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15639810426540285,0.278688524590164,0.7083333333333333,0.8004148591163711,0.05,0.0,0.0,0.0,0.5197993334587466,0.2246794401596386,0.14804063860667635,0.2214393558127831,0.15749088816420487,0.1598639455782313,0.14887640449438203,1.0,1.0,0.0,0.0,0.0
5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15753424657534246,0.5245901639344263,0.5972222222222222,0.740986817167165,0.45,0.45,0.0,0.0,0.0,0.6377512172237966,0.14804063860667635,0.17260045804705393,0.15749088816420487,0.1598639455782313,0.1461187214611872,0.0,1.0,0.0,1.0,1.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1084070796460177,0.5081967213114754,0.041666666666666685,0.9929137008802593,0.1,0.58,0.01014009302169167,0.0,0.0,0.13261512459973196,0.14063604240282684,0.17260045804705393,0.15749088816420487,0.1572727272727273,0.1702873160476524,1.0,1.0,0.0,0.0,1.0
7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.11951219512195121,0.42622950819672134,0.48611111111111116,0.16292170323884936,0.0,0.89,0.04523761259893713,0.8333333333333333,0.17970020185323196,0.20586782278169918,0.14063604240282684,0.2214393558127831,0.15749088816420487,0.1572727272727273,0.1702873160476524,1.0,1.0,1.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16363636363636364,0.1311475409836066,0.45833333333333337,0.278955902792402,0.0,0.89,0.43626687641230333,0.4166666666666667,0.35822662022366436,0.3161160899389554,0.14063604240282684,0.2214393558127831,0.1522198731501057,0.1598639455782313,0.15025528811086797,0.0,1.0,1.0,0.0,0.0
9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14400000000000002,0.5081967213114754,0.7361111111111112,0.6472223392157688,0.0,0.34,0.0,0.0,0.0,0.05973384449448545,0.18634423897581792,0.17260045804705393,0.15749088816420487,0.1572727272727273,0.14887640449438203,1.0,1.0,0.0,1.0,1.0
